Aircraft,Class,Target,SID
1,5,0,1
2,6,18,2
3,6,59,4
4,3,94,-1
5,6,205,2
6,5,268,5
7,2,295,-1
8,4,377,1
9,5,399,1
10,2,458,-1
11,3,470,-1
12,5,526,6
13,6,559,4
14,2,635,-1
15,5,649,5
16,6,720,3
17,5,767,2
18,4,797,1
19,6,805,1
20,3,809,-1
21,1,846,-1
22,6,856,4
23,3,955,-1
24,1,966,-1
25,1,1011,-1
26,3,1043,-1
27,2,1052,-1
28,2,1078,-1
29,5,1099,6
30,6,1152,6
31,2,1169,-1
32,5,1192,1
33,5,1235,1
34,2,1238,-1
35,3,1254,-1
36,6,1304,1
37,4,1371,1
38,3,1461,-1
39,3,1466,-1
40,2,1481,-1
41,2,1510,-1
42,4,1529,6
43,3,1534,-1
44,5,1663,3
45,2,1670,-1
46,3,1680,-1
47,6,1719,6
48,4,1743,5
49,1,1756,-1
50,1,1762,-1
