Aircraft,Class,Target
1,1,0
2,3,8
3,6,94
4,3,147
5,6,171
6,2,203
7,6,250
8,2,261
9,3,291
10,5,297
11,3,311
12,2,425
13,3,430
14,6,487
15,6,497
16,2,513
17,6,520
18,3,532
19,1,635
20,6,676
21,5,691
22,5,784
23,5,818
24,5,878
25,5,922
26,5,959
27,4,1039
28,5,1078
29,4,1099
30,6,1122
31,2,1274
32,2,1343
33,3,1362
34,1,1390
35,2,1416
36,2,1434
37,3,1563
38,4,1637
39,1,1687
40,4,1751
Aircraft,Class,Target
1,3,0
2,3,14
3,2,61
4,2,93
5,2,119
6,6,130
7,5,158
8,2,199
9,4,211
10,3,221
11,6,228
12,6,321
13,5,339
14,4,442
15,1,461
16,5,535
17,1,595
18,4,659
19,5,665
20,3,688
21,6,696
22,5,848
23,5,977
24,3,1027
25,3,1032
26,1,1048
27,3,1072
28,6,1141
29,2,1194
30,3,1231
31,1,1288
32,6,1318
33,2,1339
34,5,1453
35,5,1468
36,4,1502
37,2,1546
38,2,1626
39,6,1712
40,6,1751
Aircraft,Class,Target
1,2,0
2,4,74
3,1,226
4,2,273
5,5,366
6,2,392
7,1,410
8,6,513
9,4,627
10,2,671
11,4,705
12,6,729
13,3,736
14,1,805
15,6,833
16,2,886
17,6,916
18,6,955
19,3,961
20,6,980
21,5,988
22,3,999
23,3,1063
24,2,1120
25,5,1134
26,2,1157
27,1,1286
28,3,1307
29,3,1367
30,5,1453
31,4,1469
32,6,1479
33,5,1511
34,6,1561
35,3,1566
36,5,1646
37,3,1687
38,5,1724
39,2,1736
40,5,1751
Aircraft,Class,Target
1,2,0
2,5,86
3,2,166
4,4,180
5,5,204
6,4,216
7,5,222
8,2,240
9,2,245
10,5,279
11,6,393
12,1,432
13,3,496
14,2,512
15,4,562
16,6,655
17,3,692
18,1,724
19,3,853
20,6,922
21,5,945
22,4,975
23,6,1028
24,2,1047
25,6,1094
26,2,1138
27,2,1212
28,1,1220
29,6,1277
30,3,1303
31,5,1331
32,1,1372
33,3,1387
34,3,1394
35,5,1546
36,3,1649
37,6,1660
38,3,1670
39,6,1691
40,5,1751
Aircraft,Class,Target
1,2,0
2,6,64
3,5,80
4,5,114
5,5,119
6,5,125
7,5,135
8,1,156
9,6,200
10,4,329
11,5,398
12,3,455
13,2,481
14,3,528
15,3,621
16,6,629
17,3,682
18,2,710
19,6,722
20,6,740
21,2,843
22,4,995
23,6,1009
24,6,1028
25,5,1078
26,4,1089
27,6,1128
28,5,1188
29,4,1211
30,2,1285
31,3,1309
32,2,1341
33,1,1371
34,2,1451
35,3,1565
36,3,1606
37,3,1621
38,1,1628
39,2,1714
40,1,1751
Aircraft,Class,Target
1,1,0
2,2,23
3,5,38
4,2,118
5,2,146
6,2,215
7,6,318
8,6,470
9,1,484
10,6,558
11,5,618
12,5,644
13,3,649
14,3,742
15,5,766
16,2,810
17,3,844
18,6,876
19,3,923
20,6,935
21,5,1049
22,1,1079
23,2,1118
24,3,1137
25,5,1143
26,3,1154
27,4,1164
28,2,1171
29,6,1235
30,4,1276
31,1,1297
32,2,1334
33,3,1391
34,4,1444
35,6,1573
36,5,1591
37,5,1677
38,6,1685
39,3,1701
40,4,1751
Aircraft,Class,Target
1,2,0
2,5,64
3,3,70
4,2,94
5,6,106
6,6,192
7,5,231
8,1,300
9,5,380
10,6,483
11,6,533
12,5,570
13,6,630
14,5,683
15,6,709
16,2,861
17,3,880
18,3,901
19,4,1030
20,6,1040
21,2,1058
22,3,1086
23,5,1130
24,3,1177
25,4,1207
26,4,1264
27,1,1287
28,6,1292
29,4,1366
30,2,1373
31,1,1381
32,1,1397
33,5,1429
34,3,1543
35,2,1636
36,3,1677
37,2,1711
38,5,1726
39,3,1740
40,2,1751
Aircraft,Class,Target
1,5,0
2,3,41
3,6,47
4,5,62
5,2,176
6,6,220
7,2,228
8,6,321
9,6,342
10,3,395
11,5,445
12,6,468
13,3,484
14,3,558
15,4,644
16,5,704
17,6,722
18,2,851
19,1,875
20,1,912
21,5,940
22,3,959
23,1,991
24,5,1071
25,4,1101
26,4,1113
27,2,1127
28,2,1196
29,6,1206
30,2,1213
31,3,1316
32,2,1468
33,1,1502
34,4,1528
35,2,1592
36,5,1631
37,3,1688
38,3,1693
39,5,1704
40,6,1751
Aircraft,Class,Target
1,1,0
2,6,28
3,6,58
4,2,138
5,3,202
6,1,259
7,6,277
8,4,285
9,5,295
10,4,364
11,4,401
12,1,494
13,5,509
14,5,525
15,3,599
16,5,728
17,5,752
18,3,855
19,2,905
20,6,924
21,2,950
22,3,961
23,5,1047
24,1,1068
25,3,1182
26,6,1221
27,3,1373
28,2,1426
29,6,1467
30,6,1479
31,2,1486
32,3,1500
33,2,1532
34,6,1537
35,5,1560
36,2,1607
37,3,1651
38,2,1657
39,5,1691
40,4,1751
Aircraft,Class,Target
1,5,0
2,3,32
3,3,40
4,3,47
5,1,94
6,3,112
7,2,133
8,5,139
9,1,173
10,5,242
11,6,253
12,6,294
13,3,408
14,2,537
15,6,623
16,3,651
17,1,674
18,3,748
19,2,805
20,6,898
21,5,903
22,3,983
23,6,1013
24,1,1023
25,5,1087
26,6,1124
27,2,1138
28,5,1290
29,2,1314
30,4,1329
31,4,1389
32,4,1408
33,2,1420
34,6,1464
35,2,1567
36,5,1583
37,4,1622
38,2,1648
39,6,1701
40,5,1751
