Aircraft,Class,Target,SID
1,6,0,5
2,4,16,6
3,3,60,-1
4,1,152,-1
5,3,166,-1
6,3,235,-1
7,1,351,-1
8,5,384,2
9,5,413,5
10,6,438,2
11,6,444,6
12,5,470,4
13,6,473,2
14,2,481,-1
15,5,521,1
16,5,548,5
17,6,572,1
18,2,585,-1
19,5,620,1
20,2,641,-1
21,3,739,-1
22,1,749,-1
23,1,801,-1
24,5,861,5
25,2,865,-1
26,5,884,1
27,2,923,-1
28,1,928,-1
29,3,950,-1
30,5,973,3
31,6,1079,1
32,3,1151,-1
33,4,1181,1
34,2,1227,-1
35,5,1245,3
36,4,1299,3
37,3,1308,-1
38,6,1394,5
39,6,1428,2
40,4,1509,1
41,1,1526,-1
42,2,1574,-1
43,2,1611,-1
44,3,1618,-1
45,2,1633,-1
46,2,1637,-1
47,3,1647,-1
48,6,1689,1
49,4,1746,6
50,3,1764,-1
51,6,1914,2
52,5,1964,5
53,2,2040,-1
54,6,2071,1
55,3,2083,-1
56,6,2149,1
57,4,2156,6
58,2,2218,-1
59,3,2229,-1
60,5,2359,1
